Year,Pairing,Fandom,Type,Works
2020,Allison Argent/Scott McCall,Teen Wolf (TV),F/M,7592
2020,Geralt of Rivia/Jaskier,The Witcher (TV),M/M,7573
2020,Dean Winchester/You,Supernatural,Other,7555
2020,"James ""Bucky"" Barnes/Tony Stark",Marvel Cinematic Universe,M/M,7456
2020,Arthur/Eames (Inception),Inception (2010),M/M,7397
2020,Jim Ellison/Blair Sandburg,The Sentinel,M/M,7366
2020,Eraserhead/Yamada Hizashi,Boku no Hero Academia,M/M,7325
2020,Poe Dameron/Finn,Star Wars Sequel Trilogy,M/M,7239
2020,Peter Parker/Wade Wilson,Spider-Man - All Media Types,M/M,7206
2020,V/Min Yoongi,Bangtan Boys,M/M,7176
2020,Josh Dun/Tyler Joseph,Twenty One Pilots,M/M,7082
2020,Jaime Lannister/Brienne of Tarth,Game of Thrones (TV),F/M,7063
2020,Peter Hale/Stiles Stilinski,Teen Wolf (TV),M/M,7047
2020,Jon Snow/Sansa Stark,Game of Thrones (TV),F/M,6939
2020,James Bond/Q,James Bond (Craig movies),M/M,6897
2020,Otabek Altin/Yuri Plisetsky,Yuri!!! on Ice (Anime),M/M,6876
2020,Leo Fitz/Jemma Simmons,Agents of S.H.I.E.L.D. (TV),F/M,6824
2020,Byun Baekhyun/Park Chanyeol,EXO (Band),M/M,6630
2020,Rey/Ben Solo,Star Wars Sequel Trilogy,F/M,6506
2021,Castiel/Dean Winchester,Supernatural,M/M,96616
2021,Sherlock Holmes/John Watson,Sherlock (TV),M/M,64408
2021,Derek Hale/Stiles Stilinski,Teen Wolf (TV),M/M,62648
2021,"James ""Bucky"" Barnes/Steve Rogers",Captain America (Movies),M/M,55252
2021,Draco Malfoy/Harry Potter,Harry Potter,M/M,49245
2021,Steve Rogers/Tony Stark,The Avengers (Marvel Movies),M/M,40510
2021,Aziraphale/Crowley (Good Omens),Good Omens,M/M,36546
2021,Harry Styles/Louis Tomlinson,One Direction (Band),M/M,35365
2021,Keith/Lance (Voltron),Voltron: Legendary Defender,M/M,31707
2021,Dean Winchester/Sam Winchester,Supernatural,M/M,29526
2021,Jeon Jungkook/Kim Taehyung,Bangtan Boys,M/M,28479
2021,Magnus Bane/Alec Lightwood,Shadowhunters (TV),M/M,28086
2021,Rey/Ben Solo,Star Wars Sequel Trilogy,F/M,25865
2021,Chat Noir/Marinette Dupain-Cheng,Miraculous Ladybug,F/M,25668
2021,Katsuki Yuuri/Victor Nikiforov,Yuri!!! on Ice (Anime),M/M,25647
2021,Bakugou Katsuki/Midoriya Izuku,Boku no Hero Academia,M/M,25351
2021,Sirius Black/Remus Lupin,Harry Potter,M/M,24891
2021,Lan Wangji/Wei Ying,Mo Dao Zu Shi,M/M,23826
2021,Bakugou Katsuki/Kirishima Eijirou,Boku no Hero Academia,M/M,22606
2021,Merlin/Arthur Pendragon (Merlin),Merlin (TV),M/M,22577
2021,Suga/Park Jimin,Bangtan Boys,M/M,22410
2021,Jeon Jungkook/Park Jimin,Bangtan Boys,M/M,22400
2021,Peter Parker & Tony Stark,Marvel Cinematic Universe,Gen,22165
2021,Will Graham/Hannibal Lecter,Hannibal (TV),M/M,21446
2021,Pepper Potts/Tony Stark,Marvel Cinematic Universe,F/M,19609
2021,RM/Kim Seokjin,Bangtan Boys,M/M,19256
2021,Midoriya Izuku/Todoroki Shouto,Boku no Hero Academia,M/M,18807
2021,Sherlock Holmes & John Watson,Sherlock (TV),Gen,18502
2021,Dan Howell/Phil Lester,Phandom/The Fantastic Foursome (YouTube RPF),M/M,17455
2021,Blaine Anderson/Kurt Hummel,Glee,M/M,17427
2021,Iwaizumi Hajime/Oikawa Tooru,Haikyuu!!,M/M,16456
2021,Kara Danvers/Lena Luthor,Supergirl (TV 2015),F/F,16227
2021,Erik Lehnsherr/Charles Xavier,X-Men (Alternate Timeline Movies),M/M,15634
2021,Levi Ackerman/Eren Yeager,Attack on Titan,M/M,15492
2021,James Potter/Lily Evans Potter,Harry Potter,F/M,15164
2021,Keith/Shiro (Voltron),Voltron: Legendary Defender,M/M,15162
2021,Hinata Shouyou/Kageyama Tobio,Haikyuu!!,M/M,15073
2021,J-Hope/Min Yoongi,Bangtan Boys,M/M,14892
2021,Hermione Granger/Ron Weasley,Harry Potter,F/M,14881
2021,Hermione Granger/Draco Malfoy,Harry Potter,F/M,14834
2021,Armitage Hux/Ben Solo,Star Wars Sequel Trilogy,M/M,14503
2021,Eddie Kaspbrak/Richie Tozier,IT,M/M,14105
2021,Bellamy Blake/Clarke Griffin,The 100 (TV),F/M,14092
2021,Geralt of Rivia/Jaskier,The Witcher (TV),M/M,13915
2021,Dream/GeorgeNotFound (Video Blogging RPF),Video Blogging RPF,M/M,13780
2021,Gabriel/Sam Winchester,Supernatural,M/M,13657
2021,Loki/Thor (Marvel),Thor (Movies),M/M,13642
2021,Jensen Ackles/Jared Padalecki,Supernatural RPF,M/M,13640
2021,Regina Mills/Emma Swan,Once Upon a Time (TV),F/F,13451
2021,James T. Kirk/Spock,Star Trek: Alternate Original Series (Movies),M/M,13316
2021,Ian Gallagher/Mickey Milkovich,Shameless (US),M/M,13094
2021,Harry Potter/Severus Snape,Harry Potter,M/M,13007
2021,Akaashi Keiji/Bokuto Koutarou,Haikyuu!!,M/M,12789
2021,Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs),Bungou Stray Dogs,M/M,12626
2021,Eraserhead/Yamada Hizashi,Boku no Hero Academia,M/M,12591
2021,Rodney McKay/John Sheppard,Stargate Atlantis,M/M,12518
2021,V/Park Jimin,Bangtan Boys,M/M,12489
2021,Clarke Griffin/Lexa,The 100 (TV),F/F,12449
2021,Harry Potter/Ginny Weasley,Harry Potter,F/M,12002
2021,Clint Barton/Natasha Romanov,The Avengers (Marvel Movies),F/M,11828
2021,Jeon Jungkook/Min Yoongi,Bangtan Boys,M/M,11576
2021,Oliver Queen/Felicity Smoak,Arrow (TV 2012),F/M,11487
2021,"Steve McGarrett/Danny ""Danno"" Williams",Hawaii Five-0 (2010),M/M,11461
2021,Enjolras/Grantaire (Les Miserables),Les Misérables,M/M,11292
2021,Dean Winchester & Sam Winchester,Supernatural,Gen,11170
2021,Killian Jones/Emma Swan,Once Upon a Time (TV),F/M,11000
2021,Clint Barton/Phil Coulson,The Avengers (Marvel Movies),M/M,10951
2021,Mycroft Holmes/Greg Lestrade,Sherlock (TV),M/M,10945
